Run ID (log path),QC (min query count),Max latency (ns),QPS w/ loadgen overhead,QPS w/o loadgen overhead
QRTX6000_v1.1_logs,256,5275861,223.04,225.57
QRTX6000_v1.1_logs,16,5492143,188.99,192.14
QRTX6000_v1.1_logs,256,5341928,222.66,225.26
QRTX6000_v1.1_logs,16,5350891,192.06,194.52
QRTX6000_v1.1_logs,128,5495192,219.10,221.51
QRTX6000_v1.1_logs,256,5420889,223.26,225.72
QRTX6000_v1.1_logs,64,5468545,211.98,214.54
QRTX6000_v1.1_logs,128,6049889,213.04,215.40
QRTX6000_v1.1_logs,16,5404405,191.60,194.21
QRTX6000_v1.1_logs,128,6004745,211.75,214.13
QRTX6000_v1.1_logs,128,6106895,207.91,211.10
QRTX6000_v1.1_logs,32,5393539,203.89,206.29
QRTX6000_v1.1_logs,16,5273214,193.27,195.68
QRTX6000_v1.1_logs,128,5358556,217.27,219.69
QRTX6000_v1.1_logs,64,6304824,196.76,199.75
QRTX6000_v1.1_logs,128,6028653,214.25,216.59
QRTX6000_v1.1_logs,32,5557191,196.32,198.96
QRTX6000_v1.1_logs,16,5347277,193.03,195.21
QRTX6000_v1.1_logs,256,6263444,218.98,221.39
QRTX6000_v1.1_logs,32,5283596,195.92,197.31
QRTX6000_v1.1_logs,256,5302718,222.65,225.18
QRTX6000_v1.1_logs,64,5731533,202.83,205.38
QRTX6000_v1.1_logs,256,6011119,220.29,222.82
QRTX6000_v1.1_logs,128,6003586,214.35,216.71
QRTX6000_v1.1_logs,16,5442243,192.74,195.14
QRTX6000_v1.1_logs,128,6008138,214.54,216.80
QRTX6000_v1.1_logs,256,5377785,222.85,225.29
QRTX6000_v1.1_logs,256,6004488,220.46,222.88
QRTX6000_v1.1_logs,16,5255470,193.42,195.63
QRTX6000_v1.1_logs,64,6204494,196.96,199.66
QRTX6000_v1.1_logs,32,5259929,196.70,199.28
2080Ti_v1.1_logs,16,5578051,195.35,198.88
2080Ti_v1.1_logs,32,5495638,199.76,201.13
2080Ti_v1.1_logs,32,5639707,206.81,209.97
